f0_mean_hz,f0_std_hz,f0_range_st,voiced_ratio,vibrato_index,utt_id,singer_id,technique,group
263.5809631347656,36.2805061340332,8.626449584960938,0.6753069577080492,6.947897434234619,EN-Alto-1__breathy__technique__all_is_found__0000,EN-Alto-1,breathy,technique
297.912841796875,52.4764518737793,13.229639053344727,0.7827272727272727,9.12984561920166,EN-Alto-1__breathy__technique__all_is_found__0001,EN-Alto-1,breathy,technique
225.90367126464844,22.541170120239258,7.640008926391602,0.7690140845070422,3.494713544845581,EN-Alto-1__breathy__technique__all_is_found__0002,EN-Alto-1,breathy,technique
260.5491638183594,35.65413284301758,7.834609031677246,0.7214814814814815,6.384581089019775,EN-Alto-1__breathy__technique__all_is_found__0003,EN-Alto-1,breathy,technique
312.5205383300781,57.74541473388672,13.249420166015625,0.7791706846673095,8.720440864562988,EN-Alto-1__breathy__technique__all_is_found__0004,EN-Alto-1,breathy,technique
227.15530395507812,24.15427589416504,8.430916786193848,0.8424543946932007,3.9203624725341797,EN-Alto-1__breathy__technique__all_is_found__0005,EN-Alto-1,breathy,technique
378.58544921875,54.28829574584961,10.570638656616211,0.6447876447876448,8.923958778381348,EN-Alto-1__breathy__technique__all_is_found__0006,EN-Alto-1,breathy,technique
263.81915283203125,34.025970458984375,9.855077743530273,0.8263473053892215,4.878167629241943,EN-Alto-1__breathy__technique__all_is_found__0007,EN-Alto-1,breathy,technique
341.977294921875,67.87010192871094,12.186086654663086,0.7946210268948656,8.382019996643066,EN-Alto-1__breathy__technique__all_is_found__0008,EN-Alto-1,breathy,technique
225.8839569091797,14.250032424926758,4.688549995422363,0.964824120603015,1.8494176864624023,EN-Alto-1__breathy__technique__all_is_found__0009,EN-Alto-1,breathy,technique
257.6567687988281,40.404052734375,8.896278381347656,0.7669902912621359,7.4879374504089355,EN-Alto-1__breathy__technique__all_is_found__0010,EN-Alto-1,breathy,technique
315.6971740722656,52.49638748168945,10.868134498596191,0.8108527131782945,10.689796447753906,EN-Alto-1__breathy__technique__all_is_found__0011,EN-Alto-1,breathy,technique
265.0816345214844,35.57155227661133,10.459510803222656,0.6764705882352942,5.871392250061035,EN-Alto-1__breathy__technique__all_is_found__0012,EN-Alto-1,breathy,technique
216.17340087890625,10.072155952453613,3.974506378173828,0.8010973936899863,2.2371480464935303,EN-Alto-1__breathy__technique__all_is_found__0013,EN-Alto-1,breathy,technique
263.207763671875,42.31003189086914,40.84265899658203,0.5897435897435898,8.746809005737305,EN-Alto-1__breathy__control__all_is_found__0000,EN-Alto-1,breathy,control
295.7752380371094,51.262699127197266,12.67037296295166,0.8342342342342343,7.845579624176025,EN-Alto-1__breathy__control__all_is_found__0001,EN-Alto-1,breathy,control
225.5343780517578,22.148929595947266,7.678451061248779,0.8066298342541437,3.5100951194763184,EN-Alto-1__breathy__control__all_is_found__0002,EN-Alto-1,breathy,control
262.140869140625,37.65756607055664,8.343019485473633,0.774885145482389,6.438114643096924,EN-Alto-1__breathy__control__all_is_found__0003,EN-Alto-1,breathy,control
300.7173767089844,54.19936752319336,13.229633331298828,0.811965811965812,7.688856601715088,EN-Alto-1__breathy__control__all_is_found__0004,EN-Alto-1,breathy,control
224.91253662109375,21.3182430267334,8.56863021850586,0.8663853727144867,3.378685235977173,EN-Alto-1__breathy__control__all_is_found__0005,EN-Alto-1,breathy,control
367.6929626464844,61.21209716796875,45.907474517822266,0.66015625,9.804882049560547,EN-Alto-1__breathy__control__all_is_found__0006,EN-Alto-1,breathy,control
263.37994384765625,35.09425735473633,10.142789840698242,0.8501529051987767,5.569802284240723,EN-Alto-1__breathy__control__all_is_found__0007,EN-Alto-1,breathy,control
343.54705810546875,67.66311645507812,11.420621871948242,0.7904191616766467,7.976943016052246,EN-Alto-1__breathy__control__all_is_found__0008,EN-Alto-1,breathy,control
228.39524841308594,12.876504898071289,4.531177520751953,0.9273021001615509,1.7885438203811646,EN-Alto-1__breathy__control__all_is_found__0009,EN-Alto-1,breathy,control
263.3918762207031,40.28187942504883,41.10801696777344,0.6723910171730515,8.137104034423828,EN-Alto-1__breathy__control__all_is_found__0010,EN-Alto-1,breathy,control
321.4668884277344,52.87443161010742,10.857748031616211,0.8406940063091483,10.688117027282715,EN-Alto-1__breathy__control__all_is_found__0011,EN-Alto-1,breathy,control
264.2418518066406,34.753238677978516,9.615508079528809,0.7061790668348046,5.794143199920654,EN-Alto-1__breathy__control__all_is_found__0012,EN-Alto-1,breathy,control
213.77667236328125,11.634820938110352,3.2486791610717773,0.9279279279279279,2.0492868423461914,EN-Alto-1__breathy__control__all_is_found__0013,EN-Alto-1,breathy,control
257.0755920410156,44.03631591796875,40.21291732788086,0.5528455284552846,15.912745475769043,EN-Alto-1__breathy__speech__all_is_found__0000,EN-Alto-1,breathy,speech
250.12435913085938,30.216968536376953,8.27664566040039,0.7603143418467584,14.121174812316895,EN-Alto-1__breathy__speech__all_is_found__0001,EN-Alto-1,breathy,speech
243.56491088867188,33.83418655395508,10.823792457580566,0.6701030927835051,12.038336753845215,EN-Alto-1__breathy__speech__all_is_found__0002,EN-Alto-1,breathy,speech
260.9385986328125,30.709537506103516,8.897073745727539,0.5875912408759124,15.851701736450195,EN-Alto-1__breathy__speech__all_is_found__0003,EN-Alto-1,breathy,speech
249.11331176757812,30.8785400390625,9.691815376281738,0.6606606606606606,15.096783638000488,EN-Alto-1__breathy__speech__all_is_found__0004,EN-Alto-1,breathy,speech
248.5688934326172,30.84333038330078,12.509089469909668,0.5947826086956521,11.548766136169434,EN-Alto-1__breathy__speech__all_is_found__0005,EN-Alto-1,breathy,speech
251.47003173828125,43.40465545654297,39.02600860595703,0.34290843806104127,14.02733039855957,EN-Alto-1__breathy__speech__all_is_found__0006,EN-Alto-1,breathy,speech
246.5794219970703,32.38215637207031,7.834292411804199,0.8117647058823529,12.194750785827637,EN-Alto-1__breathy__speech__all_is_found__0007,EN-Alto-1,breathy,speech
250.83982849121094,29.06259536743164,7.739200115203857,0.7307692307692307,9.49563217163086,EN-Alto-1__breathy__speech__all_is_found__0008,EN-Alto-1,breathy,speech
246.80955505371094,18.091398239135742,5.087961196899414,0.6771300448430493,7.407852649688721,EN-Alto-1__breathy__speech__all_is_found__0009,EN-Alto-1,breathy,speech
255.5795440673828,38.10219192504883,11.000764846801758,0.8057851239669421,11.727057456970215,EN-Alto-1__breathy__speech__all_is_found__0010,EN-Alto-1,breathy,speech
238.8980712890625,27.552106857299805,7.442824840545654,0.7549407114624506,11.441043853759766,EN-Alto-1__breathy__speech__all_is_found__0011,EN-Alto-1,breathy,speech
244.4359588623047,30.75108528137207,8.255562782287598,0.8044692737430168,12.10060977935791,EN-Alto-1__breathy__speech__all_is_found__0012,EN-Alto-1,breathy,speech
227.24659729003906,10.655243873596191,3.687498092651367,0.5638297872340425,7.257010459899902,EN-Alto-1__breathy__speech__all_is_found__0013,EN-Alto-1,breathy,speech
286.03546142578125,26.851703643798828,7.5111002922058105,0.7866795366795367,6.5864434242248535,EN-Alto-1__breathy__technique__god_is_a_girl__0000,EN-Alto-1,breathy,technique
316.6127014160156,17.26533317565918,5.167696952819824,0.7722159730033745,5.277936935424805,EN-Alto-1__breathy__technique__god_is_a_girl__0001,EN-Alto-1,breathy,technique
272.9483947753906,33.95081329345703,8.77546215057373,0.7494199535962877,10.595358848571777,EN-Alto-1__breathy__technique__god_is_a_girl__0002,EN-Alto-1,breathy,technique
276.2669372558594,34.726470947265625,9.625951766967773,0.7785388127853882,10.349533081054688,EN-Alto-1__breathy__technique__god_is_a_girl__0003,EN-Alto-1,breathy,technique
288.3379821777344,33.59391403198242,9.395806312561035,0.775435380384968,11.208301544189453,EN-Alto-1__breathy__technique__god_is_a_girl__0004,EN-Alto-1,breathy,technique
286.9664611816406,26.34065055847168,6.610934734344482,0.7912524850894632,5.993378639221191,EN-Alto-1__breathy__control__god_is_a_girl__0000,EN-Alto-1,breathy,control
319.43243408203125,17.02225112915039,5.514889717102051,0.786242183058556,4.987774848937988,EN-Alto-1__breathy__control__god_is_a_girl__0001,EN-Alto-1,breathy,control
278.2725830078125,35.08638381958008,9.120301246643066,0.8027366020524516,9.117827415466309,EN-Alto-1__breathy__control__god_is_a_girl__0002,EN-Alto-1,breathy,control
281.54254150390625,32.39033889770508,9.996875762939453,0.8493626882966396,8.751260757446289,EN-Alto-1__breathy__control__god_is_a_girl__0003,EN-Alto-1,breathy,control
286.9632263183594,32.16804504394531,8.776611328125,0.7296389588581025,9.38390064239502,EN-Alto-1__breathy__control__god_is_a_girl__0004,EN-Alto-1,breathy,control
257.4418640136719,38.1091423034668,10.639513969421387,0.7445414847161572,11.340173721313477,EN-Alto-1__breathy__speech__god_is_a_girl__0000,EN-Alto-1,breathy,speech
254.2190704345703,34.822975158691406,10.305319786071777,0.6745495495495496,12.783343315124512,EN-Alto-1__breathy__speech__god_is_a_girl__0001,EN-Alto-1,breathy,speech
264.69451904296875,32.62229537963867,9.059172630310059,0.7283333333333334,13.891448974609375,EN-Alto-1__breathy__speech__god_is_a_girl__0002,EN-Alto-1,breathy,speech
250.6436004638672,30.044612884521484,8.271039962768555,0.7383015597920277,12.20620059967041,EN-Alto-1__breathy__speech__god_is_a_girl__0003,EN-Alto-1,breathy,speech
254.0933380126953,25.441944122314453,7.815935134887695,0.6559139784946236,11.146642684936523,EN-Alto-1__breathy__speech__god_is_a_girl__0004,EN-Alto-1,breathy,speech
309.3968811035156,47.81494903564453,14.086553573608398,0.7114178168130489,9.606103897094727,EN-Alto-1__breathy__technique__innocence__0000,EN-Alto-1,breathy,technique
304.2541198730469,43.711360931396484,11.229436874389648,0.8162544169611308,10.194449424743652,EN-Alto-1__breathy__technique__innocence__0001,EN-Alto-1,breathy,technique
322.6434020996094,53.7517204284668,11.361234664916992,0.8177697189483227,8.011744499206543,EN-Alto-1__breathy__technique__innocence__0002,EN-Alto-1,breathy,technique
367.8272705078125,55.478431701660156,9.521574974060059,0.6824877250409165,13.723894119262695,EN-Alto-1__breathy__technique__innocence__0003,EN-Alto-1,breathy,technique
369.352294921875,53.37482452392578,11.97009563446045,0.8055555555555556,14.026436805725098,EN-Alto-1__breathy__technique__innocence__0004,EN-Alto-1,breathy,technique
423.29888916015625,65.63461303710938,12.042518615722656,0.8702570379436965,8.573587417602539,EN-Alto-1__breathy__technique__innocence__0005,EN-Alto-1,breathy,technique
291.8658447265625,24.148212432861328,7.559841632843018,0.6533333333333333,6.0712361335754395,EN-Alto-1__breathy__technique__innocence__0006,EN-Alto-1,breathy,technique
298.1407165527344,23.618816375732422,5.870805740356445,0.5600858369098712,7.979282379150391,EN-Alto-1__breathy__technique__innocence__0007,EN-Alto-1,breathy,technique
313.15899658203125,46.961143493652344,14.209378242492676,0.8059490084985835,10.345108985900879,EN-Alto-1__breathy__technique__innocence__0008,EN-Alto-1,breathy,technique
307.2454528808594,52.10531997680664,10.742098808288574,0.739906103286385,10.572553634643555,EN-Alto-1__breathy__technique__innocence__0009,EN-Alto-1,breathy,technique
347.2329406738281,40.730472564697266,10.725573539733887,0.8042857142857143,6.737087249755859,EN-Alto-1__breathy__technique__innocence__0010,EN-Alto-1,breathy,technique
372.0964660644531,52.27277374267578,12.0563383102417,0.7444831591173054,15.514951705932617,EN-Alto-1__breathy__technique__innocence__0011,EN-Alto-1,breathy,technique
405.96307373046875,65.9054183959961,48.864864349365234,0.8047445255474452,9.771676063537598,EN-Alto-1__breathy__technique__innocence__0012,EN-Alto-1,breathy,technique
